Title,Introduction,Genres,Developer,Publisher,Average Rating,Rating_100,Rating_90,Rating_80,Rating_70,Rating_60,Rating_50,Rating_40,Rating_30,Rating_20,Rating_10,Retirement,Platforms,ImageURL,PC,PlayStation 5,Xbox Series X/S,Mac,Nintendo Switch,PlayStation 4,Xbox One,Amazon Luna,Google Stadia,Mobile
Elden Ring,"The Golden Order has been broken. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between. In the Lands Between ruled by Queen Marika the Eternal, the Elden Ring, the source of the Erdtree, has been shattered. Marika's offspring, demigods all, claimed the shards of the Elden Ring known as the Great Runes, and the mad taint of their newfound strength triggered a war: The Shattering. A war that meant abandonment by the Greater Will. And now the guidance of grace will be brought to the Tarnished who were spurned by the grace of gold and exiled from the Lands Between. Ye dead who yet live, your grace long lost, follow the path to the Lands Between beyond the foggy sea to stand before the Elden Ring. And become the Elden Lord.","Third-Person, Action, Open World, Role-Playing",FromSoftware,Bandai Namco Entertainment,93%,3317,1344,480,166,69,22,16,7,6,2,3.40%,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/b/b9/Elden_Ring_Box_art.jpg,93,94,95,,,92,95,,,
Vampire Survivors,"Mow thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you.","Top-Down, Action, Roguelike",Poncle,Poncle,83%,244,382,388,162,48,15,13,4,2,2,6.60%,"Mac, Mobile, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/e/e6/Vampire_Survivors_key_art.jpg,83,89,85,87,86,97,87,,,78
Ghostwire: Tokyo,"Save a Tokyo under siege by spirits in a new adventure from mastermind Shinji Mikami and the team at Tango Gameworks. Explore the streets of a city filled with spirits and mysterious otherworldly threats, with an arsenal of powerful abilities at your command.","First-Person, Action, Adventure",Tango Gameworks,Bethesda Softworks,73%,46,132,335,278,110,43,22,5,3,1,3.80%,"PC, PlayStation 5, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/d/d9/Ghostwire_Tokyo.png,73,73,77,,,,,,,
Horizon Forbidden West,Join Aloy as she braves the Forbidden West – a majestic but dangerous frontier that conceals mysterious new threats.,"Third-Person, Action, Adventure, Open World, Role-Playing",Guerrilla,PlayStation Studios,84%,341,588,469,210,76,24,11,2,3,1,2.20%,"PC, PlayStation 4, PlayStation 5",https://upload.wikimedia.org/wikipedia/en/6/69/Horizon_Forbidden_West_cover_art.jpg,81,84,,,,83,,,,
Stray,Stray is a third-person cat adventure game set amidst the detailed neon-lit alleys of a decaying cyber city and the murky environments of its seedy underbelly. See the world through the eyes of a stray and interact with the environment in playful ways.,"Third-Person, Adventure, Puzzle",BlueTwelve Studio,Annapurna Interactive,80%,416,729,1031,547,184,54,16,12,6,0,2%,"Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/f/f1/Stray_cover_art.jpg,81,80,83,40,78,79,92,,,
God of War: Ragnarök,"From Santa Monica Studio comes the sequel to the critically acclaimed God of War (2018). Kratos and Atreus must journey to each of the Nine Realms in search of answers as they prepare for the prophesied battle that will end the world. Together, Kratos and Atreus venture deep into the Nine Realms in search of answers as Asgardian forces prepare for war. Along the way they will explore stunning, mythical landscapes, gather allies from across the realms and face fearsome enemies in the form of Norse gods and monsters. As the threat of Ragnarök grows ever closer, Kratos and Atreus find themselves choosing between the safety of their family and the safety of the realms...","Third-Person, Action, Adventure, Hack and Slash",SIE Santa Monica Studio,PlayStation Studios,90%,1329,909,335,139,63,22,12,7,2,3,0.80%,"PC, PlayStation 4, PlayStation 5",https://upload.wikimedia.org/wikipedia/en/e/ee/God_of_War_Ragnar%C3%B6k_cover.jpg,88,90,,,,89,,,,
The Last of Us Part I,"Experience the emotional storytelling and unforgettable characters in The Last of Us, winner of over 200 Game of the Year awards. In a ravaged civilization, where infected and hardened survivors run rampant, Joel, a weary protagonist, is hired to smuggle 14-year-old Ellie out of a military quarantine zone. However, what starts as a small job soon transforms into a brutal cross-country journey. Includes the complete The Last of Us single-player story and celebrated prequel chapter, Left Behind, which explores the events that changed the lives of Ellie and her best friend Riley forever.","Third-Person, Action, Adventure, Horror, Shooter, Survival",Naughty Dog,Sony Interactive Entertainment,92%,707,407,125,48,18,3,1,2,3,0,0.90%,"PC, PlayStation 5",https://upload.wikimedia.org/wikipedia/en/8/86/The_Last_of_Us_Part_I_cover.jpg,91,93,,,,,,,,
Moss: Book II,"Moss: Book II is the award-winning sequel (The Game Awards ""Best VR/AR Game"") to the fan favorite VR game Moss and has secured a spot on multiple essential and must-play lists. Book II is a single-player action-adventure puzzle game from Polyarc tailor-made for VR.","Action, Adventure",Polyarc,Polyarc,90%,8,22,7,0,0,0,0,0,0,0,1.80%,"Meta Quest, PC, PlayStation 4, PlayStation 5",https://upload.wikimedia.org/wikipedia/en/6/66/Moss_Book_II_Cover_Art.jpg,90,93,,,,100,,,,
Uncharted: Legacy of Thieves Collection,Play as Nathan Drake and Chloe Frazer in their own standalone adventures as they confront their pasts and forge their own legacies.,"Third-Person, Action, Adventure, Platform, Shooter","Naughty Dog, Iron Galaxy","PlayStation Studios, PlayStation PC",87%,102,170,89,21,11,0,2,0,0,0,1.50%,"PC, PlayStation 4, PlayStation 5",https://image.api.playstation.com/vulcan/ap/rnd/202111/2000/wZ31G6ToIH9otXTVHbg3I2Wl.png,87,87,,,,86,,,,
Tunic,"Explore a land filled with lost legends, ancient powers, and ferocious monsters in TUNIC, an isometric action game about a small fox on a big adventure. Stranded in a ruined land, and armed with only your own curiosity, you will confront colossal beasts, collect strange and powerful items, and unravel long-lost secrets.","Isometric, Action, Adventure",Andrew Shouldice,Finji,84%,269,421,352,142,50,20,9,2,3,1,5.10%,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/8/85/Tunic_cover_art.jpg,84,85,83,,84,81,85,,,
