Title,Platform,Players,Main Story,Main + Sides,Completionist,Fastest,Slowest
The Last of Us Part I,PlayStation 5,1537,14,18,23,9,75
Moss: Book II,Meta Quest,20,6,6,5,4,11
Moss: Book II,PC,20,6,7,8,5,9
Moss: Book II,PlayStation 5,10,8,5,4,4,8
Moss: Book II,PlayStation 4,6,7,8,10,5,11
Uncharted: Legacy of Thieves Collection,PC,725,21,26,58,12,107
Uncharted: Legacy of Thieves Collection,PlayStation 5,427,21,25,51,13,130
Uncharted: Legacy of Thieves Collection,PlayStation 4,85,22,26,61,15,62
Tunic,PC,1693,12,17,22,5,63
Tunic,Xbox Series X/S,519,13,17,22,5,54
Tunic,PlayStation 5,233,13,16,19,5,41
Tunic,Nintendo Switch,201,13,18,24,8,49
Tunic,Xbox One,92,16,21,23,10,39
Tunic,PlayStation 4,47,10,17,19,10,34
Cult of the Lamb,PC,2298,14,19,29,6,90
Cult of the Lamb,Nintendo Switch,356,17,22,29,7,53
Cult of the Lamb,PlayStation 5,309,14,21,27,8,61
Cult of the Lamb,Xbox Series X/S,93,15,20,23,7,31
Cult of the Lamb,PlayStation 4,35,16,17,21,12,25
LEGO Star Wars: The Skywalker Saga,PC,994,19,37,88,9,230
LEGO Star Wars: The Skywalker Saga,PlayStation 5,379,19,33,88,12,137
LEGO Star Wars: The Skywalker Saga,Xbox Series X/S,225,20,35,95,9,148
LEGO Star Wars: The Skywalker Saga,Nintendo Switch,192,20,44,106,12,145
LEGO Star Wars: The Skywalker Saga,PlayStation 4,93,19,33,114,12,170
LEGO Star Wars: The Skywalker Saga,Xbox One,57,17,34,88,13,100
Baldur's Gate 3,PC,4303,70,116,174,24,562
Baldur's Gate 3,PlayStation 5,565,81,120,185,30,586
Baldur's Gate 3,Xbox Series X/S,103,64,112,184,40,407
Hogwarts Legacy,PC,3790,28,47,74,13,156
Hogwarts Legacy,PlayStation 5,2257,27,44,67,12,142
Hogwarts Legacy,Xbox Series X/S,552,29,45,75,16,194
Hogwarts Legacy,PlayStation 4,117,32,51,74,25,128
Hogwarts Legacy,Nintendo Switch,33,26,49,73,23,96
Hogwarts Legacy,Xbox One,25,29,49,81,26,99
Hi-Fi Rush,PC,2446,11,14,64,6,95
Hi-Fi Rush,Xbox Series X/S,1014,12,15,51,6,78
Hi-Fi Rush,PlayStation 5,103,11,15,54,8,54
Resident Evil 4 (2023),PC,3379,16,22,67,6,212
Resident Evil 4 (2023),PlayStation 5,1768,17,22,63,6,140
Resident Evil 4 (2023),Xbox Series X/S,397,16,23,44,8,93
Resident Evil 4 (2023),PlayStation 4,218,16,23,78,10,166
Dead Space (2023),PC,1434,12,16,31,7,62
Dead Space (2023),PlayStation 5,882,12,17,29,7,47
Dead Space (2023),Xbox Series X/S,531,13,16,27,8,42
Final Fantasy XVI,PlayStation 5,3440,38,59,83,17,200
Final Fantasy XVI,PC,171,41,61,82,26,129
Star Wars Jedi: Survivor,PC,1582,20,34,55,10,125
Star Wars Jedi: Survivor,PlayStation 5,1419,21,35,56,10,119
Star Wars Jedi: Survivor,Xbox Series X/S,572,22,35,57,12,136
The Talos Principle II,PC,405,19,31,37,10,104
The Talos Principle II,PlayStation 5,35,22,34,37,18,52
Pizza Tower,PC,607,7,13,47,3,107
Octopath Traveler II,Nintendo Switch,345,61,88,100,30,165
Octopath Traveler II,PC,278,59,80,90,29,150
Octopath Traveler II,PlayStation 5,129,61,79,91,45,200
Octopath Traveler II,PlayStation 4,11,58,80,91,51,96
Octopath Traveler II,Xbox Series X/S,10,72,91,119,60,137
Starfield,PC,1463,23,74,138,10,328
Starfield,Xbox Series X/S,694,26,87,183,10,500
Atomic Heart,PC,1233,16,25,36,7,82
Atomic Heart,Xbox Series X/S,394,17,27,34,10,50
Atomic Heart,PlayStation 5,84,16,23,31,11,46
Atomic Heart,Xbox One,23,17,29,42,12,42
